Question,Fine-tuned Answer
How does the Path Type option impact the node ID in an L3Out configuration?,"The Path Type option determines whether the node ID needs to match with the one in the parent Logical Node Profile, depending on its value."
What is the purpose of configuring a PC or vPC as part of an L3Out?,Configuring a PC or vPC allows for the creation of a virtual network that can be used by multiple leaf switches and devices.
How does the MAC Address field function in an L3Out configuration?,"This field provides a MAC address for the subinterface, routed interface, or SVI, although it is often left as the default."
What is the purpose of defining additional IP addresses using IPv4 Secondary / IPv6 Additional Addresses?,"These fields allow for additional IP addresses to be defined when a common IP is required on two border-leaf switches, enabling static routing."
How does the VLAN Pool under the External Routed Domain (L3Domain) affect the L3Out configuration?,The VLAN Pool specifies the set of VLANs that can be used by the L3Out and needs to include the Encap VLAN ID for SVIs.
Why do MTU values need to be adjusted depending on the routing protocol in Cisco ACI?,"The default ""inherit"" configuration means that APIC configures the interface with the ACI default MTU of 9000 bytes, but most router interfaces do not use jumbo frames as a default, and routing protocols like OSPF and EIGRP do not establish peering correctly unless the MTUs between the router interfaces match."
How does Cisco ACI create an IPv6 link-local address for a subinterface or routed interface?,"By default, ACI creates an IPv6 link-local address from each leaf's system MAC address in EUI-64 format."
What is the purpose of an L3Out bridge domain in Cisco ACI?,An L3Out bridge domain (BD) is created internally for each access-encap VLAN for an L3Out SVI to provide a Layer 2 flooding domain.
Can multiple L3Outs that use the same access-encap VLAN ID coexist on the same border leaf?,"No, because of the behavior described in Figure 19, which shows that each L3Out creates its own L3Out BD. However, this behavior can be changed with the SVI Encap Scope option."
What is the purpose of the SVI Encap Scope option in Cisco ACI?,"The SVI Encap Scope option allows multiple L3Outs in the same VRF to share an L3Out BD and access-encap VLAN even on the same leaf, enabling scenarios such as granular route control over each BGP peer."
"What are the main scenarios where the SVI Encap Scope ""VRF"" feature is used?",The main scenarios are (1) multiple routing protocols on the same SVI on the same leaf and (2) granular route control over each BGP peer on the same leaf by using a dedicated L3Out for each BGP peer.
How does Cisco ACI enable multiple L3Outs in the same VRF to share an L3Out BD?,"The SVI Encap Scope ""VRF"" feature allows multiple L3Outs to share the same access-encap VLAN even on the same leaf by enabling them to coexist on the same border leaf."
What is the default value of the SVI Encap Scope option in Cisco ACI?,"The default value is ""Local"", which provides the same behavior as previous ACI releases."
Why was the SVI Encap Scope option introduced in APIC Release 2.3(1)?,This option was introduced to provide a new feature that allows multiple L3Outs in the same VRF to share an L3Out BD and access-encap VLAN even on the same leaf.
How does Cisco ACI enable routing protocol neighbors between external routers connected to the same L3Out BD?,External routers connected to the same L3Out BD exchange protocol hellos through ACI and become neighbors to each other on top of the ACI border leaf switches.
Can BGP peers be limited within a Layer 2 domain in Cisco ACI?,"No, BGP peer limitations are not limited within a Layer 2 domain, but can be controlled using other means such as dedicated L3Outs for each BGP peer."
What is the purpose of the SVI tab under Logical Interface Profiles in Cisco ACI?,"The SVI tab provides options for configuring the SVI Encap Scope feature, including ""VRF"" and ""Local""."
How does Cisco ACI enable granular route control over each BGP peer on the same leaf?,"This can be achieved by using a dedicated L3Out for each BGP peer, allowing for more precise control over routing configurations."
How many L3Outs can coexist on the same border leaf if each has the same access-encap VLAN?,Two L3Outs cannot coexist on the same border leaf if they have the same access-encap VLAN.
What is the exception to the rule that one L3Out SVI on a given leaf cannot run multiple routing protocols?,BGP and OSPF can be configured in the same L3Out to provide IGP reachability for BGP.
"How can two different OSPF areas be deployed on the same SVI on the same leaf switch using the Encap Scope ""VRF"" option?","Two L3Outs, one per OSPF area, can be configured on the same leaf and SVI with the Encap Scope ""VRF"" option."
